"","member_casual","weekday","month","number_of_rides","average_duration"
"1","casual","Sun","Jan",4834,19.9500930906082
"2","casual","Sun","Feb",7987,23.0231751596344
"3","casual","Sun","Mar",5701,19.8418844647138
"4","casual","Sun","Apr",14225,25.7378195664909
"5","casual","Sun","May",32873,28.8495736115759
"6","casual","Sun","Jun",30899,26.7513964853232
"7","casual","Sun","Jul",44960,28.0667267200474
"8","casual","Sun","Aug",35847,27.4622209203932
"9","casual","Sun","Sep",33842,27.181756397376
"10","casual","Sun","Oct",27845,26.7085413299814
"11","casual","Sun","Nov",10432,21.0704259330266
"12","casual","Sun","Dec",5313,19.5683825836
"13","casual","Mon","Jan",4209,14.4090124336739
"14","casual","Mon","Feb",5101,16.5952983075214
"15","casual","Mon","Mar",5084,15.9924895095725
"16","casual","Mon","Apr",9100,20.2362087912088
"17","casual","Mon","May",22242,25.8412275574738
"18","casual","Mon","Jun",23761,23.4378252879368
"19","casual","Mon","Jul",36448,25.2368424422008
"20","casual","Mon","Aug",20258,22.7607628262086
"21","casual","Mon","Sep",19707,24.309247137227
"22","casual","Mon","Oct",18015,20.4244981034323
"23","casual","Mon","Nov",7961,16.1735837206381
"24","casual","Mon","Dec",3537,15.2085760060315
"25","casual","Tue","Jan",5123,13.8854382197931
"26","casual","Tue","Feb",5072,13.9154935594111
"27","casual","Tue","Mar",7003,16.8459398353087
"28","casual","Tue","Apr",11554,20.0244850268305
"29","casual","Tue","May",24950,22.3863213092852
"30","casual","Tue","Jun",18218,20.071329637355
"31","casual","Tue","Jul",29777,25.0813368259619
"32","casual","Tue","Aug",31701,22.1357722679621
"33","casual","Tue","Sep",16939,18.522798472952
"34","casual","Tue","Oct",19851,19.4032920255906
"35","casual","Tue","Nov",7577,14.353539219568
"36","casual","Tue","Dec",3786,13.9984460292305
"37","casual","Wed","Jan",4454,13.9786970513396
"38","casual","Wed","Feb",3414,12.4808875219684
"39","casual","Wed","Mar",8633,15.5386327657439
"40","casual","Wed","Apr",13667,19.9132899197581
"41","casual","Wed","May",23231,20.7649311982552
"42","casual","Wed","Jun",24645,20.8184256441469
"43","casual","Wed","Jul",20476,20.8970729960279
"44","casual","Wed","Aug",33731,21.8699163973793
"45","casual","Wed","Sep",19282,18.7191413408014
"46","casual","Wed","Oct",16669,19.5020997060412
"47","casual","Wed","Nov",9865,15.2804527791857
"48","casual","Wed","Dec",5027,15.7905510244679
"49","casual","Thu","Jan",3653,12.0262980198923
"50","casual","Thu","Feb",2738,14.7465972729486
"51","casual","Thu","Mar",7649,14.5997450647143
"52","casual","Thu","Apr",17495,20.6907887967991
"53","casual","Thu","May",21120,21.3655997474747
"54","casual","Thu","Jun",31061,21.23202998401
"55","casual","Thu","Jul",28376,22.160698007706
"56","casual","Thu","Aug",33435,21.7838657095858
"57","casual","Thu","Sep",20948,19.4850821080771
"58","casual","Thu","Oct",14102,17.3255460218409
"59","casual","Thu","Nov",12958,16.8263132170602
"60","casual","Thu","Dec",5414,15.2151582317449
"61","casual","Fri","Jan",3603,12.3244102137108
"62","casual","Fri","Feb",3099,15.7891362805206
"63","casual","Fri","Mar",6839,16.4385509577424
"64","casual","Fri","Apr",19307,22.1832608207731
"65","casual","Fri","May",21393,22.3864426058368
"66","casual","Fri","Jun",40465,24.0363066847893
"67","casual","Fri","Jul",31945,24.0863797151354
